1942,1,PC | Steam,VALVE,B,Scrolling shooter,,,NULL,2022,1984,5,,Não,Sim,1
A Bird Story,1,PC | Steam,VALVE,C,Adventure,,,NULL,2021,2014,9,100%,Não,Sim,2
A Plague Tale: Innocence,17,Windows 10,Microsoft,B,Stealth,,,NULL,2021,2019,9,,Não,Sim,3
A Plague Tale: Requim,26,Xbox Series S,Microsoft,A,Stealth,Gostei mais do Segundo e ele está Ótimo no Series S,,NULL,2024,2022,9,,Não,Sim,4
Air Zonk,4,PC Engine,NEC,S,Shoot 'em up,"No final usei o Save State, primeiro game a retro 100%",,NULL,2024,1992,8,100%,Sim,Sim,5
Akai Katana,1,Arcade,MAME,A,Bullet hell,,,NULL,2023,2010,7,,Sim,Não,6
Alice: Madness Returns,18,PC | Steam,VALVE,B,Hack and slash,,,NULL,2020,2011,8,,Não,Sim,7
Alien vs. Predator,1,Arcade,Capcom,C,Beat 'em up,,,NULL,2023,1994,8,,Sim,Não,8
As Dusk Falls,8,Windows 10,Microsoft,C,Adventure,,,NULL,2023,2022,7,,Não,Sim,9
Assassin's Creed,19,PC | Steam,VALVE,B,Stealth,,,NULL,2020,2007,7,,Não,Sim,10
Assassin's Creed II,14,PC | Ubisoft,Ubisoft Connect,B,Stealth,,,NULL,2020,2010,8,,Não,Sim,11
Assassin's Creed III Remastered,15,PC | Ubisoft,Ubisoft Connect,B,Stealth,,,NULL,2020,2019,7,,Não,Sim,12
Assassin's Creed IV: Black Flag,47,PC | Steam,VALVE,B,Stealth,,,NULL,2020,2013,9,,Não,Sim,13
Assassin's Creed: Brotherhood,15,PC | Ubisoft,Ubisoft Connect,B,Stealth,,,NULL,2020,2010,9,,Não,Sim,14
Assassin's Creed: Freedom Cry,6,PC | Steam,VALVE,B,Stealth,,,NULL,2020,2013,7,,Não,Sim,15
Assassin's Creed: Liberation HD,6,PC | Ubisoft,Ubisoft Connect,B,Stealth,,,NULL,2020,2014,4,,Não,Sim,16
Assassin's Creed: Origins,41,PC | Ubisoft,Ubisoft Connect,B,Action-RPG,,,NULL,2020,2017,8,,Não,Sim,17
Assassin's Creed: Revelations,18,PC | Ubisoft,Ubisoft Connect,B,Stealth,,,NULL,2020,2011,7,,Não,Sim,18
Assassin's Creed: Rogue,22,PC | Steam,VALVE,B,Stealth,,,NULL,2020,2014,7,,Não,Sim,19
Assassin's Creed: Syndicate,18,PC | Ubisoft,Ubisoft Connect,B,Stealth,,,NULL,2020,2015,7,,Não,Sim,20
Assassin's Creed: Unity,20,PC | Ubisoft,Ubisoft Connect,B,Stealth,,,NULL,2020,2014,7,,Não,Sim,21
Bastion,5,PC | Steam,VALVE,B,Action-RPG,,,NULL,2021,2011,8,,Não,Sim,22
Batsugun,1,Sega Saturn,Sega,B,Shoot 'em up,,,NULL,2023,1993,7,,Sim,Não,23
Bayonetta,11,PC | Steam,VALVE,A,Hack and slash,,,NULL,2021,2017,9,,Não,Sim,24
Bayonetta 2,13,Nintendo Wii U,Nintendo,B,Hack and slash,,,NULL,2021,2014,8,,Sim,Não,25
